LastName_FirstName, FirstName_LastName, Birthplace_AL, Longitude, Latitude
"De LEON, THOMAS COOPER"," ""THOMAS COOPER De LEON""", Columbia,31.2929,-85.1114
"SMITH, EUGENE ALLEN"," ""EUGENE ALLEN SMITH""", Parrish,33.7329,-87.2764
"CRUMPTON, WASHINGTON BRYAN"," ""WASHINGTON BRYAN CRUMPTON""", Camden,31.9904,-87.2908
"MOORE, IDORA McCLELLAN PLOWMAN"," ""IDORA McCLELLAN PLOWMAN MOORE""", Talladega,33.4359,-86.1
"BREWER, THADDEUS CONSTANTINE WILLIS"," ""THADDEUS CONSTANTINE WILLIS BREWER""", Sumter County,32.6656,-88.0819
"DAVIS, MARY EVELINA MOORE"," ""MARY EVELINA MOORE DAVIS""", Benton,32.3068,-87.2458
"DUFFEE, MARY GORDON"," ""MARY GORDON DUFFEE""", Tuscaloosa,33.2098,-87.5692
"MAXWELL, JAMES ROBERT"," ""JAMES ROBERT MAXWELL""", Arley,34.0734,-87.2111
"HANNON, JOHN"," ""JOHN HANNON""", Montgomery,32.3792,-86.3077
"BRIDGMAN, FREDERICK ARTHUR"," ""FREDERICK ARTHUR BRIDGMAN""", Florence,34.7998,-87.6773
"FOSTER, LOVELACE SAVIDGE"," ""LOVELACE SAVIDGE FOSTER""", Tuscaloosa,33.2098,-87.5692
"WEEDEN, MARIA HOWARD"," ""MARIA HOWARD WEEDEN""", Huntsville,34.7304,-86.5861
"COUNCILL, WILLIAM HOOPER"," ""WILLIAM HOOPER COUNCILL""", Fayette,33.684,-87.83
"DOZIER, ORION THEOPHILUS"," ""ORION THEOPHILUS DOZIER""", Dozier,31.4979,-86.3664
"BENNERS, ALFRED HATCH"," ""ALFRED HATCH BENNERS""", Greensboro,32.7043,-87.5958
"HAMILL, HOWARD MELANCTHON"," ""HOWARD MELANCTHON HAMILL""", Lowndesboro,32.2735,-86.6086
"MELL, ANNIE REBECCA WHITE"," ""ANNIE REBECCA WHITE MELL""", Athens,34.8029,-86.9717
"HUNNICUTT, JOHN LETCHER"," ""JOHN LETCHER HUNNICUTT""", Reform,33.3801,-88.0158
"CLARK, KATE UPSON"," ""KATE UPSON CLARK""", Camden,31.9904,-87.2908
"McCORVEY, THOMAS CHALMERS"," ""THOMAS CHALMERS McCORVEY""", Monroe County,31.5924,-87.3657
"MOODY, ROBERT NEILL"," ""ROBERT NEILL MOODY""", Albertville,34.2676,-86.2089
"TAYLOR, HANNIS"," ""HANNIS TAYLOR""", Stevenson,34.8682,-85.8358
"CRAIGHEAD, ERWIN"," ""ERWIN CRAIGHEAD""", Ashville,33.8357,-86.2561
"CRUIKSHANK, GEORGE MARCUS"," ""GEORGE MARCUS CRUIKSHANK""", Lexington,34.9668,-87.3722
"FRY, ANNA MARIA GAYLE"," ""ANNA MARIA GAYLE FRY""", Dallas County,32.3545,-87.1183
"STONE, PATTIE WRIGHT"," ""PATTIE WRIGHT STONE""", Cherokee,34.7573,-87.9722
"BRAGG, SHIRLEY"," ""SHIRLEY BRAGG""", Lowndesboro,32.2735,-86.6086
"LAY, WILLIAM PATRICK"," ""WILLIAM PATRICK LAY""", Cherokee,34.7573,-87.9722
"PHILLIPS, JOHN HERBERT"," ""JOHN HERBERT PHILLIPS""", Eva,34.3243,-86.7458
"ROLAND, ALICE KATE CASH"," ""ALICE KATE CASH ROLAND""", Margaret,33.6829,-86.4742
"GORGAS, WILLIAM CRAWFORD"," ""WILLIAM CRAWFORD GORGAS""", Mobile,30.6954,-88.0399
"BEAUCHAMP, GEORGE ALLAN"," ""GEORGE ALLAN BEAUCHAMP""", Eufaula,31.8918,-85.1455
"BROWN, ANNIE FINLEY GREENE"," ""ANNIE FINLEY GREENE BROWN""", Tuscaloosa,33.2098,-87.5692
"DuBOSE, JOEL CAMPBELL"," ""JOEL CAMPBELL DuBOSE""", Sumter County,32.6656,-88.0819
"TAYLOR, JOSEPH JUDSON"," ""JOSEPH JUDSON TAYLOR""", Taylor,31.1682,-85.4686
"CHILTON, CLAUDIUS LYSIAS"," ""CLAUDIUS LYSIAS CHILTON""", Eva,34.3243,-86.7458
"CHRISTENBERRY, DANIEL PINKNEY"," ""DANIEL PINKNEY CHRISTENBERRY""", Berry,33.6629,-87.5986
"HARRISON, BELLE RICHARDSON"," ""BELLE RICHARDSON HARRISON""", Camden,31.9904,-87.2908
"WILKINS, BENJAMIN HARRISON SR."," ""BENJAMIN HARRISON WILKINS SR.""", Margaret,33.6829,-86.4742
"GRAYSON, CLAUDE COLUMBUS"," ""CLAUDE COLUMBUS GRAYSON""", Auburn,32.6099,-85.4808
"HALE, PHILIP THOMAS"," ""PHILIP THOMAS HALE""", Madison,34.6993,-86.7483
"RUFFIN, MARGARET ELLEN HENRY"," ""MARGARET ELLEN HENRY RUFFIN""", Daphne,30.6035,-87.9033
"WYATT, RUFUS R."," ""RUFUS R. WYATT""", Pickens County,33.2615,-88.0881
"CRAIGHEAD, LURA HARRIS"," ""LURA HARRIS CRAIGHEAD""", Ashville,33.8357,-86.2561
"DE COTTES, NINA BROWNE"," ""NINA BROWNE DE COTTES""", Eva,34.3243,-86.7458
"DuBOSE, HORACE MELLARD"," ""HORACE MELLARD DuBOSE""", Rosa,33.9501,-86.3864
"WYLIE, LAURA ISABELLE"," ""LAURA ISABELLE WYLIE""", Mobile,30.6954,-88.0399
"BEVERLY, JOHN WILLIAM"," ""JOHN WILLIAM BEVERLY""", Hale County,32.7628,-87.6272
"CLARK, GEORGE HUNTINGTON"," ""GEORGE HUNTINGTON CLARK""", Providence,32.4679,-88.0936
"CLINTON, THOMAS PATRICK"," ""THOMAS PATRICK CLINTON""", Tuscaloosa,33.2098,-87.5692
"CORY, MARIELOU ARMSTRONG"," ""MARIELOU ARMSTRONG CORY""", Greensboro,32.7043,-87.5958
"HAMILTON, PETER JOSEPH"," ""PETER JOSEPH HAMILTON""", Hamilton,34.1429,-87.9886
"MIXON, WINFIELD HENRY"," ""WINFIELD HENRY MIXON""", Dallas County,32.3545,-87.1183
"ROBERT, KATE AYERS"," ""KATE AYERS ROBERT""", Mobile,30.6954,-88.0399
"STAKELY, CHARLES AVERETT"," ""CHARLES AVERETT STAKELY""", Madison,34.6993,-86.7483
"CRANE, MARY POWELL"," ""MARY POWELL CRANE""", Montgomery,32.3792,-86.3077
"GIELOW, MARTHA SAWYER"," ""MARTHA SAWYER GIELOW""", Greensboro,32.7043,-87.5958
"LYON, ANNE BOZEMAN"," ""ANNE BOZEMAN LYON""", Mobile,30.6954,-88.0399
"PETRIE, GEORGE"," ""GEORGE PETRIE""", Montgomery,32.3792,-86.3077
"SIBERT, WILLIAM LUTHER"," ""WILLIAM LUTHER SIBERT""", Gadsden,34.0143,-86.0066
"BULLARD, ROBERT LEE"," ""ROBERT LEE BULLARD""", Douglas,34.1729,-86.3186
"CRAIG, COLA AMANDA BARR"," ""COLA AMANDA BARR CRAIG""", Jackson,31.5082,-87.8942
"DOBYNS, WILLIAM RAY"," ""WILLIAM RAY DOBYNS""", Franklin,31.7143,-85.8472
"HILL, ISAAC WILLIAM"," ""ISAAC WILLIAM HILL""", Auburn,32.6099,-85.4808
"LITTLE, JOHN BUCKNER"," ""JOHN BUCKNER LITTLE""", Ridgeville,34.1779,-86.1158
"SKAGGS, WILLIAM H."," ""WILLIAM H. SKAGGS""", Talladega,33.4359,-86.1
"VAUGHAN, SUSAN KIRKMAN"," ""SUSAN KIRKMAN VAUGHAN""", Florence,34.7998,-87.6773
"WILLIAMS, ANNIE LAURIE"," ""ANNIE LAURIE WILLIAMS""", Montgomery,32.3792,-86.3077
"ADAMS, EMILY CAMPBELL"," ""EMILY CAMPBELL ADAMS""", Mobile,30.6954,-88.0399
"DAVIS, NORAH KNOWLES"," ""NORAH KNOWLES DAVIS""", Huntsville,34.7304,-86.5861
"KIRK, DOLLY WILLIAMS"," ""DOLLY WILLIAMS KIRK""", Hamilton,34.1429,-87.9886
"UNDERWOOD, OSCAR WILDER"," ""OSCAR WILDER UNDERWOOD""", Louisville,31.7835,-85.5558
"FARRAH, ALBERT JOHN"," ""ALBERT JOHN FARRAH""", Eva,34.3243,-86.7458
"FOSTER, AGNESS GREENE"," ""AGNESS GREENE FOSTER""", Athens,34.8029,-86.9717
"FOSTER, HENRY BACON"," ""HENRY BACON FOSTER""", Tuscaloosa,33.2098,-87.5692
"GREENE, DANIEL ARTHUR"," ""DANIEL ARTHUR GREENE""", Lee County,32.6019,-85.3548
"LUSK, LEILA FEARN"," ""LEILA FEARN LUSK""", Huntsville,34.7304,-86.5861
"OUSLEY, CLARENCE"," ""CLARENCE OUSLEY""", Lowndes County,32.2492,-86.6501
"SAMPEY, JOHN RICHARD"," ""JOHN RICHARD SAMPEY""", Fort Deposit,31.9843,-86.5786
"SHACKELFORD, EDWARD MADISON"," ""EDWARD MADISON SHACKELFORD""", Madison,34.6993,-86.7483
"BROCK, GEORGE WILLIAM"," ""GEORGE WILLIAM BROCK""", Etowah County,34.0459,-86.0402
"HARDING, WILLIAM PROCTOR GOULD"," ""WILLIAM PROCTOR GOULD HARDING""", Boligee,32.7543,-88.0286
"LOVEMAN, ROBERT"," ""ROBERT LOVEMAN""", Cleveland,33.9929,-86.5772
"PENNY, KATE MAYHEW SPEAKE"," ""KATE MAYHEW SPEAKE PENNY""", Lawrence County,34.5264,-87.3108
"ROSS, BENNETT BATTLE"," ""BENNETT BATTLE ROSS""", Tuskegee,32.4301,-85.7072
"YERBY, WILLIAM EDWARD WADSWORTH"," ""WILLIAM EDWARD WADSWORTH YERBY""", Greensboro,32.7043,-87.5958
"COCKE, SARAH COBB JOHNSON"," ""SARAH COBB JOHNSON COCKE""", Selma,32.4074,-87.0211
"DAWSON, LEMUEL ORAH"," ""LEMUEL ORAH DAWSON""", Jackson,31.5082,-87.8942
"FERRELL, CHILES CLIFTON"," ""CHILES CLIFTON FERRELL""", Greenville,31.8293,-86.6172
"MANLY, JOHN MATTHEWS"," ""JOHN MATTHEWS MANLY""", Sumter County,32.6656,-88.0819
"FINNELL, WOOLSEY"," ""WOOLSEY FINNELL""", Tuscaloosa,33.2098,-87.5692
"MOSELEY, ELLA LOWERY"," ""ELLA LOWERY MOSELEY""", Eva,34.3243,-86.7458
"BOLES, WILLIAM J."," ""WILLIAM J. BOLES""", Piedmont,33.9243,-85.6114
"ELLIOTT, IDA WALLIS"," ""IDA WALLIS ELLIOTT""", Newbern,32.5901,-87.5314
"ELLIOTT, JAMES WALTER"," ""JAMES WALTER ELLIOTT""", Cordova,33.7593,-87.1864
"GREENE, FRANCES NIMMO"," ""FRANCES NIMMO GREENE""", Tuscaloosa,33.2098,-87.5692
"LEE, LAWRENCE HAYWOOD"," ""LAWRENCE HAYWOOD LEE""", Clay,33.7029,-86.6236
"VINES, WILLIAM MADISON"," ""WILLIAM MADISON VINES""", Fayette,33.684,-87.83
"BROWN, WILLIAM GARROTT"," ""WILLIAM GARROTT BROWN""", Marion,32.6329,-87.3192
"CATHER, WILLIAM HARLOW"," ""WILLIAM HARLOW CATHER""", Ashville,33.8357,-86.2561
"CROSSFIELD, RICHARD HENRY"," ""RICHARD HENRY CROSSFIELD""", Jackson,31.5082,-87.8942
"DUGGAR, JOHN FREDERICK"," ""JOHN FREDERICK DUGGAR""", Faunsdale,32.4579,-87.5936
"SMITH, ALGERNON LUNDY"," ""ALGERNON LUNDY SMITH""", Prattville,32.464,-86.4597
"CONNELL, LUTHER ALLEN"," ""LUTHER ALLEN CONNELL""", Chilton County,32.9944,-86.7175
"DAVIDSON, HENRY DAMON"," ""HENRY DAMON DAVIDSON""", Centre,34.1523,-85.6783
"EDWARDS, WILLIAM JAMES"," ""WILLIAM JAMES EDWARDS""", Jackson,31.5082,-87.8942
"GAINES, MARION TOULMIN"," ""MARION TOULMIN GAINES""", Mobile,30.6954,-88.0399
"HUDDLESTON, GEORGE"," ""GEORGE HUDDLESTON""", Franklin,31.7143,-85.8472
"RUTH, WILLIAM HARDWICK"," ""WILLIAM HARDWICK RUTH""", Montgomery,32.3792,-86.3077
"TYLER, ROBERT ENOC"," ""ROBERT ENOC TYLER""", Birmingham,33.5186,-86.8104
"WILLIAMS, CHARLES BRAY"," ""CHARLES BRAY WILLIAMS""", Shiloh,31.4093,-85.8808
"BILBRO, ANNE MATHILDE"," ""ANNE MATHILDE BILBRO""", Tuskegee,32.4301,-85.7072
"EASBY-SMITH, JAMES STANISLAUS"," ""JAMES STANISLAUS EASBY-SMITH""", Tuscaloosa,33.2098,-87.5692
"HARRIS, SEALE"," ""SEALE HARRIS""", Margaret,33.6829,-86.4742
"HOBSON, RICHMOND PEARSON"," ""RICHMOND PEARSON HOBSON""", Greensboro,32.7043,-87.5958
"ROBERTS, THOMAS KEENER"," ""THOMAS KEENER ROBERTS""", Morris,33.7479,-86.6742
"SAFFOLD, MILDRED REYNOLDS"," ""MILDRED REYNOLDS SAFFOLD""", Bullock County,32.0877,-85.7161
"CARLISLE, HORACE CALLAWAY"," ""HORACE CALLAWAY CARLISLE""", Brundidge,31.7201,-85.8164
"MARTIN, WILL IRVIN"," ""WILL IRVIN MARTIN""", Calhoun County,33.7702,-85.8263
"DUGGAR, BENJAMIN MINGE"," ""BENJAMIN MINGE DUGGAR""", Margaret,33.6829,-86.4742
"LINCOLN, RIXFORD JOSEPH"," ""RIXFORD JOSEPH LINCOLN""", Lincoln,33.5943,-86.1186
"MERTINS, GUSTAVE FREDERICK"," ""GUSTAVE FREDERICK MERTINS""", Evergreen,31.4335,-86.9561
"WEIL, ADELE KAHN"," ""ADELE KAHN WEIL""", Montgomery,32.3792,-86.3077
"CHAPMAN, KATHARINE HOPKINS"," ""KATHARINE HOPKINS CHAPMAN""", Selma,32.4074,-87.0211
"COYLE, JAMES EDWIN"," ""JAMES EDWIN COYLE""", Margaret,33.6829,-86.4742
"DeFOREST, LEE"," ""LEE DeFOREST""", Margaret,33.6829,-86.4742
"FRAZER, WILLIAM HENRY"," ""WILLIAM HENRY FRAZER""", Fayette,33.684,-87.83
"HANDY, WILLIAM CHRISTOPHER"," ""WILLIAM CHRISTOPHER HANDY""", Florence,34.7998,-87.6773
"HARRIS, MAY"," ""MAY HARRIS""", Elmore,32.5382,-86.3158
"JOHNSTON, HARDEE"," ""HARDEE JOHNSTON""", Selma,32.4074,-87.0211
"KENNAMER, JOHN ROBERT SR."," ""JOHN ROBERT KENNAMER SR.""", Hodges,34.3301,-87.9264
"McDAVID, MITTIE ROSE OWEN"," ""MITTIE ROSE OWEN McDAVID""", Birmingham,33.5186,-86.8104
"PAYNE, LEONIDAS WARREN JR."," ""LEONIDAS WARREN PAYNE JR.""", Auburn,32.6099,-85.4808
"ROWLEY, DAISY WOODRUFF"," ""DAISY WOODRUFF ROWLEY""", Eva,34.3243,-86.7458
"BECK, MAY RANDLETTE"," ""MAY RANDLETTE BECK""", Columbia,31.2929,-85.1114
"FLEMING, WALTER LYNWOOD"," ""WALTER LYNWOOD FLEMING""", Brundidge,31.7201,-85.8164
"HOLTZCLAW, WILLIAM HENRY"," ""WILLIAM HENRY HOLTZCLAW""", Roanoke,33.1518,-85.3722
"JACKSON, GEORGE PULLEN"," ""GEORGE PULLEN JACKSON""", Birmingham,33.5186,-86.8104
"JOHNSTON, HEWITT"," ""HEWITT JOHNSTON""", Oakman,33.7135,-87.3886
"JONES, THOMAS G."," ""THOMAS G. JONES""", Ozark,31.459,-85.64
"LINDSAY, MAUDE McKNIGHT"," ""MAUDE McKNIGHT LINDSAY""", Tuscumbia,34.7318,-87.7022
"RUSSELL, MILDRED BREWER"," ""MILDRED BREWER RUSSELL""", Hayneville,32.1835,-86.5808
"WHEELER, HARRY EDGAR"," ""HARRY EDGAR WHEELER""", Birmingham,33.5186,-86.8104
"COLLEY, JAMES OSCAR"," ""JAMES OSCAR COLLEY""", Coosa County,32.9464,-86.2294
"DUNCAN, LUTHER NOBLE"," ""LUTHER NOBLE DUNCAN""", Margaret,33.6829,-86.4742
"HURTEL, CAROLINE GAILLARD"," ""CAROLINE GAILLARD HURTEL""", Mobile,30.6954,-88.0399
"ARMES, ETHEL MARIE"," ""ETHEL MARIE ARMES""", Hamilton,34.1429,-87.9886
"DAUGETTE, ANNIE ROWAN FORNEY"," ""ANNIE ROWAN FORNEY DAUGETTE""", Jackson,31.5082,-87.8942
"DAWSON, JOHN CHARLES"," ""JOHN CHARLES DAWSON""", Huntsville,34.7304,-86.5861
"BLACKMON, ROSS"," ""ROSS BLACKMON""", Black,31.0118,-85.7436
"CAYCE, EDGAR"," ""EDGAR CAYCE""", Eva,34.3243,-86.7458
"COMER, JAMES McDONALD"," ""JAMES McDONALD COMER""", Eva,34.3243,-86.7458
"McLESTER, JAMES SOMERVILLE"," ""JAMES SOMERVILLE McLESTER""", Lester,34.9782,-87.1522
"MORRISS, ELIZABETH CLEVELAND"," ""ELIZABETH CLEVELAND MORRISS""", Cleveland,33.9929,-86.5772
"TATUM, EDITH BRITTAIN CRENSHAW"," ""EDITH BRITTAIN CRENSHAW TATUM""", Greenville,31.8293,-86.6172
"AMERINE, WILLIAM HENRY"," ""WILLIAM HENRY AMERINE""", Greenville,31.8293,-86.6172
"BULLOCK-WILLIS, VIRGINIA"," ""VIRGINIA BULLOCK-WILLIS""", Boligee,32.7543,-88.0286
"CRENSHAW, PAULINE SMITH"," ""PAULINE SMITH CRENSHAW""", Lester,34.9782,-87.1522
"EDMONDS, HENRY MORRIS"," ""HENRY MORRIS EDMONDS""", Morris,33.7479,-86.6742
"EDWARDS, CHRISTINE WILLIAMS"," ""CHRISTINE WILLIAMS EDWARDS""", Clay,33.7029,-86.6236
"McCORD, LEON CLARENCE"," ""LEON CLARENCE McCORD""", Grant,34.5093,-86.2522
"MORRISON, FLORENCE HOBSON"," ""FLORENCE HOBSON MORRISON""", Greensboro,32.7043,-87.5958
"MOSES, ALFRED GEIGER"," ""ALFRED GEIGER MOSES""", Livingston,32.5843,-88.1872
"MOSES, MONTROSE JONAS"," ""MONTROSE JONAS MOSES""", York,32.4865,-88.2939
"ROCHE, EMMA LANGDON"," ""EMMA LANGDON ROCHE""", Mobile,30.6954,-88.0399
"WATERMAN, ANNIE LOUISE"," ""ANNIE LOUISE WATERMAN""", Mobile,30.6954,-88.0399
"BEALLE, ALFRED BATTLE"," ""ALFRED BATTLE BEALLE""", Pickens County,33.2615,-88.0881
"BEESON, MALCOLM ALFRED"," ""MALCOLM ALFRED BEESON""", Gadsden,34.0143,-86.0066
"BURKE, MALCOLM CLAYTON JR."," ""MALCOLM CLAYTON BURKE JR. """, Demopolis,32.5174,-87.8369
"BUSCH, FRANCIS XAVIER"," ""FRANCIS XAVIER BUSCH""", Detroit,34.0279,-88.1708
"CATCHINGS, WADDILL"," ""WADDILL CATCHINGS""", Silas,31.7668,-88.3272
"COLLINS, CHARLES WALLACE"," ""CHARLES WALLACE COLLINS""", Steele,33.9379,-86.1992
"CORNELIUS, MARY CHILTON CHASE"," ""MARY CHILTON CHASE CORNELIUS""", Carolina,31.2401,-86.3147
"CURZON, GRACE ELVINA TRILLIA HINDS"," ""GRACE ELVINA TRILLIA HINDS CURZON""", Decatur,34.6059,-86.9833
"HENRY, WAIGHTS GIBBS"," ""WAIGHTS GIBBS HENRY""", Morris,33.7479,-86.6742
"KNOX, ROSA BELLE"," ""ROSA BELLE KNOX""", Talladega,33.4359,-86.1
"MALLORY, KATHLEEN MOORE"," ""KATHLEEN MOORE MALLORY""", Summerfield,32.5207,87.0417
"SPRATT, ROBERT DAVIS"," ""ROBERT DAVIS SPRATT""", Livingston,32.5843,-88.1872
"BODDIE, JOHN BENNETT JR."," ""JOHN BENNETT BODDIE JR.""", Dayton,32.3382,-87.6372
"GANEY, JOSEPH SAMUEL"," ""JOSEPH SAMUEL GANEY""", Covington County,31.2406,-86.4402
"KELLER, HELEN ADAMS"," ""HELEN ADAMS KELLER""", Tuscumbia,34.7318,-87.7022
"WALKER, ANNE KENDRICK"," ""ANNE KENDRICK WALKER""", Eufaula,31.8918,-85.1455
"WILKES, WILLIAM PUGH"," ""WILLIAM PUGH WILKES""", Pike County,31.8003,-86.0239
"BEASLEY, BUCKNER"," ""BUCKNER BEASLEY""", Auburn,32.6099,-85.4808
"CHANDLER, WILLIAM TEMPLE HATCHETT"," ""WILLIAM TEMPLE HATCHETT CHANDLER""", Montgomery,32.3792,-86.3077
"FIES, ROSE MAYER"," ""ROSE MAYER FIES""", Clay,33.7029,-86.6236
"GARRETT, MITCHELL BENNETT"," ""MITCHELL BENNETT GARRETT""", Lineville,33.3101,-85.7542
"LEFTWICH, NINA"," ""NINA LEFTWICH""", Margaret,33.6829,-86.4742
"LITTLE, ROBERT IRVING"," ""ROBERT IRVING LITTLE""", Tuscaloosa,33.2098,-87.5692
"LLOYD, STEWART JOSEPH"," ""STEWART JOSEPH LLOYD""", Hamilton,34.1429,-87.9886
"MARTIN, THOMAS WESLEY"," ""THOMAS WESLEY MARTIN""", Margaret,33.6829,-86.4742
"BROOKS, BESSIE ATKINS"," ""BESSIE ATKINS BROOKS""", Springville,33.7729,-86.4714
"DAVIS, HARWELL GOODWIN"," ""HARWELL GOODWIN DAVIS""", Marengo County,32.2621,-87.6879
"FIES, MILTON HENRY"," ""MILTON HENRY FIES""", Birmingham,33.5186,-86.8104
"MARSHALL, JAMES WILLIAMS"," ""JAMES WILLIAMS MARSHALL""", Marion,32.6329,-87.3192
"CHAPMAN, ELIZABETH HUMES"," ""ELIZABETH HUMES CHAPMAN""", Huntsville,34.7304,-86.5861
"COOK, ELLA BOOKER"," ""ELLA BOOKER COOK""", Black,31.0118,-85.7436
"CRUMPTON, ETHEL HOWARD"," ""ETHEL HOWARD CRUMPTON""", Tuskegee,32.4301,-85.7072
"McDUFFIE, JOHN"," ""JOHN McDUFFIE""", Marion,32.6329,-87.3192
"STOLLENWERCK, FRANK JR."," ""FRANK STOLLENWERCK JR.""", Selma,32.4074,-87.0211
"CLARK, JOHN BUNYAN"," ""JOHN BUNYAN CLARK""", Hamilton,34.1429,-87.9886
"CLEERE, WILLIAM W."," ""WILLIAM W. CLEERE""", Franklin,31.7143,-85.8472
"FRASIER, SCOTTIE McKENZIE"," ""SCOTTIE McKENZIE FRASIER""", McKenzie,31.5443,-86.7186
"GLAZNER, JOHN FRANK"," ""JOHN FRANK GLAZNER""", Collinsville,34.2637,-85.8608
"HALL, GROVER CLEVELAND"," ""GROVER CLEVELAND HALL""", Haleburg,31.4082,-85.1164
"HIBBEN, SHEILA"," ""SHEILA HIBBEN""", Montgomery,32.3792,-86.3077
"HUEY, THOMAS EDWARD"," ""THOMAS EDWARD HUEY""", Birmingham,33.5186,-86.8104
"JEMISON, EDITH GRACE"," ""EDITH GRACE JEMISON""", Talladega,33.4359,-86.1
"JONES, MOLLIE HOLLIFIELD"," ""MOLLIE HOLLIFIELD JONES""", Addison,34.2023,-87.1778
"SEARCY, HARVEY BROWN"," ""HARVEY BROWN SEARCY""", Tuscaloosa,33.2098,-87.5692
"SEIBELS, FANNY LOCKETT MARKS"," ""FANNY LOCKETT MARKS SEIBELS""", Montgomery,32.3792,-86.3077
"TYNES, MARY ELLA POLLARD"," ""MARY ELLA POLLARD TYNES""", Birmingham,33.5186,-86.8104
"WOODRUFF, LORENZO FERGUSON"," ""LORENZO FERGUSON WOODRUFF""", Montgomery,32.3792,-86.3077
"AYERS, HARRY MELL"," ""HARRY MELL AYERS""", Anniston,33.6598,-85.8316
"CARROLL, MARY TARVER"," ""MARY TARVER CARROLL""", Bullock County,32.0877,-85.7161
"DENSON, JOHN VERNON"," ""JOHN VERNON DENSON""", Fayette,33.684,-87.83
"FRAZER, JOHN WILLIAM"," ""JOHN WILLIAM FRAZER""", Evergreen,31.4335,-86.9561
"MUDD, WILLIAM SWEARINGEN"," ""WILLIAM SWEARINGEN MUDD""", Birmingham,33.5186,-86.8104
"PIM, WILLIAM PAUL"," ""WILLIAM PAUL PIM""", Lester,34.9782,-87.1522
"BLACK, HUGO LAFAYETTE"," ""HUGO LAFAYETTE BLACK""", Clay,33.7029,-86.6236
"CLARK, ELMER TALMAGE"," ""ELMER TALMAGE CLARK""", Randolph County,33.3016,-85.4513
"FEIDELSON, CHARLES N."," ""CHARLES N. FEIDELSON""", York,32.4865,-88.2939
"MAYER, ARTHUR LOEB"," ""ARTHUR LOEB MAYER""", Demopolis,32.5174,-87.8369
"SCOTT, EVA CLYDE STOVALL"," ""EVA CLYDE STOVALL SCOTT""", Columbia,31.2929,-85.1114
"TAYLOR, LILY ROSS"," ""LILY ROSS TAYLOR""", Auburn,32.6099,-85.4808
"TUCKER, IRWIN St JOHN"," ""IRWIN St JOHN TUCKER""", Mobile,30.6954,-88.0399
"BLISS, ANDREW RICHARD JR."," ""ANDREW RICHARD BLISS JR. """, York,32.4865,-88.2939
"BURNS, JEREMIAH M."," ""JEREMIAH M. BURNS""", Winston County,34.1455,-87.3667
"DORMAN, LEWY"," ""LEWY DORMAN""", Clay,33.7029,-86.6236
"FRAZER, MELL ALEXANDER"," ""MELL ALEXANDER FRAZER""", Auburn,32.6099,-85.4808
"MOORE, ALBERT BURTON"," ""ALBERT BURTON MOORE""", Belk,33.6457,-87.9258
"THOMAS, MABEL CLARE RANDALL"," ""MABEL CLARE RANDALL THOMAS""", Livingston,32.5843,-88.1872
"COLES, SAMUEL B."," ""SAMUEL B. COLES""", Dallas County,32.3545,-87.1183
"COLLIER, EDWARD TARLETON"," ""EDWARD TARLETON COLLIER""", Montgomery,32.3792,-86.3077
